
---------- Begin Simulation Statistics ----------
simSeconds                                   0.040295                       # Number of seconds simulated (Second)
simTicks                                  40294716500                       # Number of ticks simulated (Tick)
finalTick                                 40294716500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    284.31                       # Real time elapsed on the host (Second)
hostTickRate                                141726871                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800252                       # Number of bytes of host memory used (Byte)
simInsts                                     81135555                       # Number of instructions simulated (Count)
simOps                                      124811822                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   285373                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     438992                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         80589434                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       125152683                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       41                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      125073947                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined               340896                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            397260                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  41                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            80545064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.552844                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.077371                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11900783     14.78%     14.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  30682372     38.09%     52.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  24359356     30.24%     83.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10261447     12.74%     95.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1848053      2.29%     98.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1462896      1.82%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     29296      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       834      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        27      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              80545064                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
