
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017689                       # Number of seconds simulated (Second)
simTicks                                  17688714500                       # Number of ticks simulated (Tick)
finalTick                                 17688714500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    239.28                       # Real time elapsed on the host (Second)
hostTickRate                                 73925037                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800532                       # Number of bytes of host memory used (Byte)
simInsts                                     81135555                       # Number of instructions simulated (Count)
simOps                                      124811822                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   339083                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     521616                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         35377430                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       126285677                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       57                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      125911849                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    137                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1473906                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1910124                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  57                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            35336603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.563213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.767329                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1252463      3.54%      3.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4689048     13.27%     16.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4295142     12.15%     28.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6150229     17.40%     46.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5661241     16.02%     62.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9472801     26.81%     89.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2743212      7.76%     96.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    866147      2.45%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    206320      0.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              35336603                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
